user_id,ethnicity
170822,White
849594,White
721878,White
562729,White
400123,White
150755,White
614380,White
320172,White
969715,White
551096,White
550905,White
367613,White
788109,White
852384,White
406821,White
974807,White
605534,Black or Black British
217899,White
762871,White
536684,White
423681,White
338083,White
327508,White
175829,Black or Black British
343135,White
206743,White
822564,White
332562,White
989660,White
311186,White
375135,White
843444,White
187409,White
831537,White
425282,White
592503,White
315010,Black or Black British
200626,Black or Black British
293989,White
987724,White
240386,White
882811,White
749922,White
716514,White
769743,White
856755,White
429808,Black or Black British
198720,White
740379,White
156396,White
833961,White
137642,White
494095,White
706067,Asian or Asian British
415618,White
539830,Black or Black British
717412,White
700329,Asian or Asian British
910502,White
512236,White
946195,White
716466,White
560802,White
729682,White
154243,White
910614,White
238021,White
605378,White
812205,White
864009,White
839532,White
472385,White
191920,Mixed
717248,White
161813,Mixed
438175,White
958882,White
513508,White
404649,White
724338,Black or Black British
634160,White
579168,Mixed
840152,White
858311,White
345074,White
209699,White
359761,Asian or Asian British
574923,White
626196,White
795372,White
996427,White
238232,White
992087,White
936486,White
521984,White
812834,White
464760,White
703060,White
737110,White
633594,White
142536,White
858699,Asian or Asian British
225817,White
407514,White
888895,White
693434,Mixed
567379,White
824760,White
505866,White
192374,White
128157,Mixed
445470,White
406473,White
567843,White
264663,Mixed
648640,White
150138,Asian or Asian British
552366,White
987147,White
141194,White
988097,Asian or Asian British
147371,White
512904,White
962045,White
839246,Black or Black British
204620,White
883366,White
291661,White
656175,White
908837,White
669454,White
295547,White
275936,White
721568,White
491776,White
738523,Asian or Asian British
264773,White
666751,White
264222,White
384945,White
124991,Mixed
201012,White
949812,White
412225,White
772418,White
655432,White
367126,White
798113,Mixed
439599,White
414293,White
989209,Black or Black British
263493,White
592875,White
457700,Asian or Asian British
587720,White
612878,White
353204,White
851922,White
841573,White
563179,Black or Black British
834809,White
777523,White
831013,White
508238,White
581365,White
836563,White
133120,White
914568,White
411456,White
448293,White
318127,White
192134,White
438978,White
268191,White
282455,White
572492,White
549152,White
280353,Black or Black British
551988,White
850079,White
634598,White
675173,White
216172,White
115366,White
122217,White
912084,White
974659,White
605864,White
374864,White
568801,White
293242,White
576092,White
275273,White
375287,White
265576,White
874091,White
212122,White
253693,White
270064,White
877846,White
658016,White
686372,White
258290,Mixed
